City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,college,64.8569,-147.8028,30.99000000000001,35,75,6.17,US,1690255254
206,tura,25.5198,90.2201,28.03000000000003,82,86,1.33,IN,1690255397
207,whitehorse,60.7161,-135.0538,20.57000000000005,59,75,3.09,CA,1690255132
208,marovoay,-16.1,46.6333,20.53000000000003,71,54,1.04,MG,1690255397
209,serra talhada,-7.9919,-38.2983,18.710000000000036,89,5,3.79,BR,1690255397
210,thunder bay,48.4001,-89.3168,14.990000000000009,82,20,1.03,CA,1690255314
211,caiaponia,-16.9567,-51.8103,19.100000000000023,45,17,1.84,BR,1690255398
212,cambria,35.5641,-121.0808,30.410000000000025,58,39,3.4,US,1690255398
213,arawa,-6.2132,155.5367,26.810000000000002,88,100,1.57,PG,1690255398
214,price,39.5994,-110.8107,29.590000000000032,23,0,2.06,US,1690255399
215,nadym,65.5333,72.5167,22.710000000000036,60,100,3.89,RU,1690255399
216,chasong,41.4608,126.6414,30.180000000000007,50,25,2.95,KP,1690255399
217,hillsborough,37.5741,-122.3794,23.560000000000002,74,20,8.75,US,1690255204
218,papao,-17.75,-149.55,28.82000000000005,86,5,9.85,PF,1690255400
219,xam nua,20.4197,104.0439,29.960000000000036,50,78,0.24,LA,1690255400
220,petropavlovsk-kamchatsky,53.0452,158.6483,24.33000000000004,44,40,3.0,RU,1690255400
221,hays,30.0502,-98.0336,31.52000000000004,61,74,2.24,US,1690255400
222,hermanus,-34.4187,19.2345,9.580000000000041,66,0,2.62,ZA,1690255400
223,marechal floriano,-20.4128,-40.6831,16.700000000000045,94,19,1.22,BR,1690255401
224,tsiombe,-25.3,45.4833,14.520000000000039,93,0,2.38,MG,1690255401
225,el calafate,-50.3408,-72.2768,-5.919999999999959,73,100,1.04,AR,1690255401
226,tucurui,-3.7661,-49.6725,23.29000000000002,53,2,0.05,BR,1690255401
227,portland,45.5234,-122.6762,24.090000000000032,63,40,6.17,US,1690255155
228,alba iulia,46.0667,23.5833,18.55000000000001,72,66,0.64,RO,1690255402
229,collipulli,-37.95,-72.4333,8.460000000000036,97,100,3.6,CL,1690255402
230,tindouf,27.6711,-8.1474,29.25,37,1,4.63,DZ,1690255402
231,guerrero negro,27.9769,-114.0611,21.230000000000018,75,69,6.18,MX,1690255403
232,luderitz,-26.6481,15.1594,12.379999999999995,72,75,1.22,NA,1690255403
233,kodiak,57.79,-152.4072,14.730000000000018,67,0,5.14,US,1690255403
234,senillosa,-39.0,-68.4167,3.8799999999999955,57,58,4.51,AR,1690255404
235,utrik,11.2278,169.8474,28.730000000000018,75,100,7.39,MH,1690255404
236,port alfred,-33.5906,26.891,10.400000000000034,70,0,2.55,ZA,1690255404
237,kayangel,8.0823,134.7173,28.58000000000004,74,99,4.16,PW,1690255405
238,meizhou,24.2977,116.1072,33.93000000000001,60,17,0.86,CN,1690255405
